Amsterdam,Sun,08,52
Anchorage,Sat,23,52
Ankara,Sun,10,52
Athens,Sun,09,52
Atlanta,Sun,02,52
Auckland,Sun,20,52
Barcelona,Sun,08,52
Beirut,Sun,09,52
Berlin,Sun,08,52
Boston,Sun,02,52
Brasilia,Sun,05,52
Brussels,Sun,08,52
Bucharest,Sun,09,52
Budapest,Sun,08,52
Cairo,Sun,09,52
Calgary,Sun,01,52
Cape Town,Sun,09,52
Casablanca,Sun,07,52
Chicago,Sun,01,52
Columbus,Sun,02,52
Copenhagen,Sun,08,52
Dallas,Sun,01,52
Denver,Sun,01,52
Detroit,Sun,02,52
Dubai,Sun,11,52
Dublin,Sun,07,52
Edmonton,Sun,01,52
Frankfurt,Sun,08,52
Halifax,Sun,03,52
Helsinki,Sun,09,52
Houston,Sun,01,52
Indianapolis,Sun,02,52
Istanbul,Sun,10,52
Jerusalem,Sun,09,52
Johannesburg,Sun,09,52
Kathmandu,Sun,13,37
Kuwait City,Sun,10,52
Las Vegas,Sun,00,52
Lisbon,Sun,07,52
London,Sun,07,52
Los Angeles,Sun,00,52
Madrid,Sun,08,52
Melbourne,Sun,18,52
Miami,Sun,02,52
Minneapolis,Sun,01,52
Montreal,Sun,02,52
Moscow,Sun,10,52
New Orleans,Sun,01,52
New York,Sun,02,52
Oslo,Sun,08,52
Ottawa,Sun,02,52
Paris,Sun,08,52
Philadelphia,Sun,02,52
Phoenix,Sun,00,52
Prague,Sun,08,52
Reykjavik,Sun,07,52
Riyadh,Sun,10,52
Rome,Sun,08,52
Salt Lake City,Sun,01,52
San Francisco,Sun,00,52
San Salvador,Sun,01,52
Santiago,Sun,04,52
Seattle,Sun,00,52
Shanghai,Sun,15,52
Singapore,Sun,15,52
Stockholm,Sun,08,52
Sydney,Sun,18,52
São Paulo,Sun,05,52
Tokyo,Sun,16,52
Toronto,Sun,02,52
Vancouver,Sun,00,52
Vienna,Sun,08,52
Warsaw,Sun,08,52
Washington DC,Sun,02,52
Winnipeg,Sun,01,52
Zurich,Sun,08,52
